ILCE;GENEL_SIRALAMA;IL_ICI_SIRALAMA;SKOR;KADEME
Muratpaşa;15;1;3.173;1
Konyaaltı;27;2;2.465;1
Kepez;88;6;1.392;2
Döşemealtı;100;7;1.216;2
Aksu;225;10;0.476;2
