ILCE;NUFUS;YASLI_ORAN;COCUK_ORAN
Seyhan;782204;0.1059;0.2199
Yüreğir;396572;0.1059;0.2199
Çukurova;380653;0.1059;0.2199
Sarıçam;263080;0.1059;0.2199
