ILCE;GENEL_SIRALAMA;IL_ICI_SIRALAMA;SKOR;KADEME
Seyhan;42;1;2.043;1
Çukurova;76;2;1.529;2
Sarıçam;149;3;0.862;2
Yüreğir;203;4;0.596;2
