ILCE;NUFUS;YASLI_ORAN;COCUK_ORAN
Yenişehir;281358;0.1149;0.2061
Akdeniz;254292;0.1149;0.2061
Mezitli;233140;0.1149;0.2061
Toroslar;322971;0.1149;0.2061
