ILCE;GENEL_SIRALAMA;IL_ICI_SIRALAMA;SKOR;KADEME
Yenişehir;49;1;1.948;1
Akdeniz;103;2;1.183;2
Mezitli;107;3;1.147;2
Toroslar;240;6;0.396;2
