ILCE;GENEL_SIRALAMA;IL_ICI_SIRALAMA;SKOR;KADEME
Başiskele;70;3;1.562;2
Derince;185;7;0.68;2
Gölcük;147;5;0.892;2
İzmit;44;2;2.023;1
Kartepe;157;6;0.837;2
Körfez;211;10;0.55;2
