ILCE;GENEL_SIRALAMA;IL_ICI_SIRALAMA;SKOR;KADEME
Bağlar;337;4;0.017;3
Kayapınar;150;1;0.857;2
Sur;296;3;0.124;3
Yenişehir;227;2;0.466;3
